phase,study,task,predictor,seed,status,epochs,train_samples,val_samples,train_loss,train_pred_loss,train_anti_collapse,train_ac_mean_norm,train_ac_cov_trace,train_ac_cov_min_eig,train_ac_cov_max_eig,train_ac_effective_rank,val_pred_loss,val_cov_trace,val_cov_min_eig,val_cov_max_eig,val_effective_rank,val_aliasing_rate,head_type,label_fraction,head_epochs,train_acc,test_loss,test_acc,train_mse,test_mse,test_mae,exactish_rate,variant,damage_type,damage_level,segments,active_segments,total_length,tube_area,junction_area,surface,delivered_traffic,normalized_surface,gate_entropy,load_gini,surface_degradation,traffic_degradation
phase1_pilot,study3,,,0,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,full_surface,spatial,0.15,256.0,218.0,79.02799036945828,25.864968646340017,4.127698019486555,29.99266666582657,251.26551327094376,0.1193664274662767,0.5726951871675776,0.4282408019434462,0.0008018727332795,44.02397051568141
phase1_pilot,study3,,,0,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,full_surface,load_targeted,0.05,256.0,243.0,83.43640480509413,26.439093298171024,4.209788468045769,30.648881766216792,249.835075875186,0.1226764562887148,0.6439173187119233,0.3310613210794464,0.0041119015557176,45.45440791143915
phase1_pilot,study3,,,0,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,full_surface,load_targeted,0.1,256.0,230.0,76.20275965547295,23.55961259231458,3.943912819192429,27.50352541150701,217.28035557180644,0.1265808192271292,0.6124092779355379,0.3397558530018483,0.008016264494132,78.00912821481873
phase1_pilot,study3,,,0,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,full_surface,load_targeted,0.15,256.0,218.0,70.77857829350202,21.534186431926244,3.679667804743339,25.213854236669583,193.03269401956567,0.1306196049504842,0.5817878492117498,0.356206679468551,0.012055050217487,102.25678976705944
phase1_pilot,study1,maze,mlp,1,complete,3.0,384.0,128.0,0.4803697740038236,0.000324884817625,16.001496473948162,0.024957476183772,3.349895268911496e-05,1.6946196182421325e-11,3.2818690669955686e-05,1.1379941986226634,0.0001172337233583,0.0061329384334385,0.0,0.0060216817073524,1.1255259376679092,0.6781326781326781,,,,,,,,,,,,,,,,,,,,,,,,,
phase1_pilot,study1,maze,spiking,1,complete,3.0,384.0,128.0,0.4801026955246925,8.98281153543697e-05,16.000429153442383,0.0113767804577946,3.227163233532337e-06,1.5968518174425128e-11,2.8638010007853154e-06,1.6003387945051166,4.210728366160765e-05,0.0001660997804719,0.0,0.0001297817652812,2.2088199877850223,0.6519607843137255,,,,,,,,,,,,,,,,,,,,,,,,,
phase1_pilot,study1,sorting,mlp,1,complete,3.0,384.0,128.0,0.4816513483723004,0.0020249364412544,15.987547397613524,0.045419406145811,0.0127984508872032,3.0740864076506114e-08,0.0082130134105682,2.6961244759792877,0.002240760368295,0.2258373349905014,5.944182035477752e-09,0.1033461987972259,5.452078073175679,,,,,,,,,,,,,,,,,,,,,,,,,,
phase1_pilot,study1,sorting,spiking,1,complete,3.0,384.0,128.0,0.4782153144478798,0.002213573733267,15.866725126902262,0.1153197064995765,0.2256016880273819,9.30124102183072e-08,0.2102668583393097,1.328585184313286,0.0024185624788515,0.4005308151245117,3.975502238517947e-08,0.2508724927902221,3.825423043204364,,,,,,,,,,,,,,,,,,,,,,,,,,
phase1_pilot,study2,maze_action,,1,complete,,,,1.3848568201065063,,,,,,,,,,,,,,classification,0.1,8.0,0.2631579041481018,1.3896398544311523,0.203125,,,,,,,,,,,,,,,,,,,
phase1_pilot,study2,sorting_head,,1,complete,,,,,,,,,,,,,,,,,,regression,0.1,8.0,,,,0.2570537328720093,0.2419961988925933,0.4051052927970886,0.0,,,,,,,,,,,,,,,
