study,task,predictor,variant,damage_type,damage_level,head_type,metric,n_rows,n_seeds,mean,sd,median,q25,q75,boot_ci_low,boot_ci_high
study1,sorting,spiking,,,,,train_anti_collapse,4,4,15.904935638109844,0.05161134314707974,15.88664480050405,15.87298027674357,15.918600161870321,15.870895226796467,15.95356220006943
study1,sorting,spiking,,,,,train_ac_mean_norm,4,4,0.07724414300173515,0.03773782788092176,0.08211628347635265,0.05722227972000833,0.10213814675807947,0.046504297293722546,0.10653200000524515
study1,sorting,spiking,,,,,train_ac_cov_trace,4,4,0.16183385206386444,0.11393807724074421,0.16785384714603419,0.08984549669548862,0.23984220251441002,0.06958498712629076,0.25408271700143814
study1,sorting,spiking,,,,,train_ac_cov_min_eig,4,4,9.246463061884924e-08,6.583217052159256e-08,8.744087409695567e-08,6.574397648506648e-08,1.1416152823073844e-07,3.627902156466689e-08,1.536739961949252e-07
study1,sorting,spiking,,,,,train_ac_cov_max_eig,4,4,0.15149002522230148,0.11024820185539709,0.15758851170539856,0.08402384817600247,0.22505468875169754,0.06313753128051755,0.2398425191640854
study1,sorting,spiking,,,,,train_ac_effective_rank,4,4,1.547116914729053,0.5196657684278658,1.3062135540736524,1.27560382991663,1.5777266388860756,1.267365735999241,2.0648237329118375
study1,sorting,spiking,,,,,val_pred_loss,4,4,0.002065176358882975,0.0006001528596633972,0.0023333757708314503,0.001979429998755175,0.00241912213095925,0.00148450522465275,0.002419681783067
study1,sorting,spiking,,,,,val_cov_trace,4,4,0.32397883385419846,0.08577666514709754,0.3471241891384125,0.30684130638837814,0.36426171660423273,0.2388951107859611,0.38591720163822174
study1,sorting,spiking,,,,,val_cov_min_eig,4,4,2.0728161631566877e-08,1.4177910972367619e-08,1.879688049655215e-08,1.4482059329523622e-08,2.5042982798595403e-08,9.207639761754649e-09,3.4179964636393834e-08
study1,sorting,spiking,,,,,val_cov_max_eig,4,4,0.18948793038725845,0.07329778496035387,0.21057832241058344,0.16504409536719314,0.23502215743064878,0.12187661603093142,0.24030560255050654
study1,sorting,spiking,,,,,val_effective_rank,4,4,4.338492637631507,1.010676240430646,4.069463001864719,3.732862544030171,4.675093095466054,3.6403020448559786,5.276253386017839
study2,maze_action,,,,,classification,train_loss,4,4,1.3783943057060242,0.004624795661177455,1.3773838877677917,1.3761045634746552,1.3796736299991608,1.3749509453773499,1.382848083972931
study2,maze_action,,,,,classification,label_fraction,4,4,0.1,0.0,0.1,0.1,0.1,0.1,0.1
study2,maze_action,,,,,classification,head_epochs,4,4,8.0,0.0,8.0,8.0,8.0,8.0,8.0
