phase,study,variant,damage_type,damage_level,seed,status,segments,active_segments,total_length,tube_area,junction_area,surface,delivered_traffic,normalized_surface,gate_entropy,load_gini,surface_degradation,traffic_degradation
phase1_pilot,study3,euclidean_length,load_targeted,0.05,2,complete,256.0,117.0,39.43741314918921,7.814080449766405,1.6485134815103724,9.462593931276778,39.19417029270096,0.24142860681055645,0.5155760175299744,0.5768048384244966,0.05324991881903121,15.802814444395587
phase1_pilot,study3,euclidean_length,load_targeted,0.1,2,complete,256.0,104.0,37.28943891800843,7.190310032609901,1.4274538277110103,8.617763860320911,29.415067371479516,0.29297107324482546,0.4817864734984541,0.553379791972159,0.10479238525330023,25.58191736561703
phase1_pilot,study3,euclidean_length,load_targeted,0.15,2,complete,256.0,92.0,35.251575323026735,6.682982094847215,1.2973133294554902,7.980295424302706,24.06116094967522,0.33166709776295117,0.450400187608868,0.557523807748219,0.14348840977142593,30.935823787421327
phase1_pilot,study3,tube_only,none,0.0,2,complete,256.0,242.0,108.42545242945698,28.467897291889173,3.8468110544612477,32.31470834635042,212.2921001269043,0.15221813871317447,0.5694018711534331,0.5004922057197796,,
phase1_pilot,study3,tube_only,uniform,0.05,2,complete,256.0,229.0,102.94791889741931,27.112471611502613,3.753110976671282,30.865582588173893,202.99756655291475,0.15204902753653338,0.5388637051170244,0.5205803065751387,-0.0001691111766410902,9.294533573989554
phase1_pilot,study3,tube_only,uniform,0.1,2,complete,256.0,218.0,96.0110356857062,25.122640509934982,3.596476368367181,28.719116878302163,189.40432873830255,0.15162861940957378,0.508925475710577,0.5516839182056257,-0.0005895193036006829,22.88777138860175
phase1_pilot,study3,tube_only,uniform,0.15,2,complete,256.0,207.0,92.88692016505462,24.509997447458275,3.4998966250943546,28.00989407255263,181.29153767915926,0.15450193886367783,0.48686235727969285,0.5757940285517258,0.0022838001505033623,31.00056244774504
phase1_pilot,study3,tube_only,spatial,0.05,2,complete,256.0,232.0,104.46913077006772,27.511855719958838,3.757351628882409,31.26920734884125,203.81612705689932,0.1534187102798673,0.5435768992183999,0.5204863042032553,0.001200571566692843,8.475973070004983
phase1_pilot,study3,tube_only,spatial,0.1,2,complete,256.0,217.0,97.92545096472294,25.895017302002522,3.679477041177272,29.574494343179794,195.59860121159352,0.15119992759904693,0.5094126159619883,0.5581414128540312,-0.0010182111141275318,16.693498915310784
phase1_pilot,study3,tube_only,spatial,0.15,2,complete,256.0,208.0,90.97922110601641,23.60960147031882,3.4930505861668486,27.10265205648567,178.0540064143249,0.15221590685186082,0.48896741659923637,0.5688168324564065,-2.231861313650718e-06,34.2380937125794
phase1_pilot,study3,tube_only,load_targeted,0.05,2,complete,256.0,229.0,100.48501518533023,25.215190358897033,3.4643833574077294,28.679573716304763,168.0201471640403,0.17069127838935647,0.5523720749404475,0.4821781903857254,0.018473139676182,44.27195296286399
phase1_pilot,study3,tube_only,load_targeted,0.1,2,complete,256.0,216.0,93.88965856449839,22.88855705373271,3.160398594101662,26.048955647834372,140.62064435362657,0.18524275554075248,0.527922452142098,0.4921731750082341,0.03302461682757801,71.67145577327773
phase1_pilot,study3,tube_only,load_targeted,0.15,2,complete,256.0,204.0,87.55525371119997,20.78602371389376,2.886533289102317,23.672557002996076,119.90626314934332,0.19742552540010055,0.5033558602668223,0.5061487289189976,0.04520738668692609,92.38583697756098
phase1_pilot,study3,full_surface,none,0.0,2,complete,256.0,256.0,94.99702132172072,31.527532354766947,4.712556681285839,36.24008903605279,310.31146370445214,0.11678617541954824,0.6691008300260657,0.35764797043315744,,
phase1_pilot,study3,full_surface,uniform,0.05,2,complete,256.0,243.0,90.25589542099296,30.032208215583815,4.598018141381537,34.63022635696535,297.40815348363384,0.11644007048954906,0.635066600344564,0.38526539684278327,-0.00034610492999917475,12.903310220818298
phase1_pilot,study3,full_surface,uniform,0.1,2,complete,256.0,230.0,84.2043555357683,27.958819953426698,4.4109537476486675,32.36977370107537,278.5264692269524,0.11621794434746253,0.6010445475295848,0.42544490586048234,-0.0005682310720857009,31.784994477499765
phase1_pilot,study3,full_surface,uniform,0.15,2,complete,256.0,218.0,81.33931082568839,26.956987465891473,4.2715400159357815,31.228527481827253,260.6284954846892,0.11982008115633538,0.5701035512109003,0.4513189965899169,0.0030339057367871486,49.68296821976293
phase1_pilot,study3,full_surface,spatial,0.05,2,complete,256.0,243.0,91.82441382445357,30.628744040082026,4.634090893485045,35.26283493356707,301.6613475537565,0.11689543661577069,0.6343039171552095,0.3903267709223843,0.00010926119622245434,8.650116150695624
phase1_pilot,study3,full_surface,spatial,0.1,2,complete,256.0,230.0,86.06676556830642,28.73418822734874,4.489892189977488,33.22408041732623,284.22941250571455,0.11689177458187697,0.5997077586869956,0.4322585716377483,0.00010559916232873168,26.082051198737588
phase1_pilot,study3,full_surface,spatial,0.15,2,complete,256.0,218.0,79.31288252855873,26.137220396276465,4.272604721812721,30.409825118089188,257.4189991246276,0.11813356908510529,0.5698011409440068,0.4566147578326616,0.0013473936655570562,52.89246457982455
phase1_pilot,study3,full_surface,load_targeted,0.05,2,complete,256.0,243.0,86.07235784685376,27.437087758042896,4.289231538963856,31.726319297006754,255.44275279719082,0.12420128951927598,0.6430213801404123,0.3309634375749815,0.00741511409972774,54.86871090726132
phase1_pilot,study3,full_surface,load_targeted,0.1,2,complete,256.0,230.0,78.85600597249194,24.50145290524451,3.9994372626946864,28.500890167939197,219.79780955767694,0.12966867242215904,0.612277117804708,0.3318569801593969,0.012882497002610807,90.5136541467752
phase1_pilot,study3,full_surface,load_targeted,0.15,2,complete,256.0,218.0,72.24974837303589,22.040694998255997,3.773079123731024,25.81377412198702,195.7545204036696,0.1318680869664578,0.5817683547099207,0.349085123980988,0.015081911546909563,114.55694330078254
